country	year	sport	event	athlete	Result	medal
Greece	1896	Gymnastics	Parallel Bars Team	Ioannis Khrisaphos		BRONZE
Greece	1896	Gymnastics	Parallel Bars Team	Dimitrios Loundras		BRONZE
Greece	1896	Shooting	Pistol 25m	Ioannis Fragoudis	344	GOLD
Greece	1896	Shooting	Pistol 25m	Georgios Orfanidis	249	SILVER
Greece	1896	Shooting	Free Pistol	Ioannis Fragoudis	n/a	BRONZE
Greece	1896	Shooting	Military Revolver	Mnokolaos Morakis	205	BRONZE
Greece	1896	Shooting	Free Rifle	Pantelis Karasevdas	2320	GOLD
Greece	1896	Shooting	Free Rifle	Pavlos Pavlidis	1978	SILVER
Greece	1896	Shooting	Free Rifle	Nikolaos Trikoupis	1713	BRONZE
Greece	1896	Shooting	Army Gun 300m	Georgios Orfanidis	1583	GOLD
Greece	1896	Shooting	Army Gun 300m	Ioannis Fragoudis	1312	SILVER
Greece	1896	Swimming	500m Freestyle Men	Antonios Pepanos	9:57.6	SILVER
Greece	1896	Swimming	500m Freestyle Men	Efstathios  Chorafas	n/a	BRONZE
Greece	1896	Swimming	1200m Freestyle Men	Ioannis Andreou	21:03.4	SILVER
Greece	1896	Swimming	1200m Freestyle Men	Efstathios  Chorafas	n/a	BRONZE
Greece	1896	Swimming	100m Freestyle for Sailors	Ioannis Malokinis	2:20.4	GOLD
Greece	1896	Swimming	100m Freestyle for Sailors	Spyros Chasapis	n/a	SILVER
Greece	1896	Swimming	100m Freestyle for Sailors	Dimitrios Drivas	n/a	BRONZE
Greece	1896	Tennis	Men's Singles	Dionyssios Kasdaglis		SILVER
Greece	1896	Tennis	Men's Singles	Konstantinos Paspatis		BRONZE
Greece	1896	Weightlifting	Heavyweight (Two-handed)	Alexandros Nikolopoulos		BRONZE
Greece	1896	Weightlifting	Heavyweight (Two-handed)	Sotiris Versis		BRONZE
Greece	1896	Weightlifting	Heavyweight One Handed	Alexandros Nikolopoulos	n/a	BRONZE
Greece	1896	Wrestling	Greco-Roman Heavyweight	Georgios Tsitas		SILVER
Greece	1896	Wrestling	Greco-Roman Heavyweight	Stephanos Khristopoulos		BRONZE
United States	1896	Track & Field	100m Men	Tom Burke	12.0	GOLD
United States	1896	Track & Field	100m Men	Francis Lane	12.6	BRONZE
United States	1896	Track & Field	400m Men	Tom Burke	54.2	GOLD
United States	1896	Track & Field	400m Men	Herbert Jamison	n/a	SILVER
United States	1896	Track & Field	1500m Men	Arthur Blake	4:34.0 est.	SILVER
United States	1896	Track & Field	110m Hurdles Men	Tom Curtis	17.6	GOLD
United States	1896	Track & Field	High Jump Men	Ellery Clark	1.81	GOLD
United States	1896	Track & Field	High Jump Men	Bob Garrett	1.65	SILVER
United States	1896	Track & Field	High Jump Men	James Connolly	1.65	SILVER
United States	1896	Track & Field	Pole Vault Men	Bill Hoyt	3.30	GOLD
United States	1896	Track & Field	Pole Vault Men	Albert Tyler	3.25	SILVER
United States	1896	Track & Field	Long Jump Men	Ellery Clark	6.35	GOLD
United States	1896	Track & Field	Long Jump Men	Bob Garrett	6.18	SILVER
United States	1896	Track & Field	Long Jump Men	James Connolly	6.11	BRONZE
United States	1896	Track & Field	Triple Jump Men	James Connolly	13.71	GOLD
United States	1896	Track & Field	Shot Put Men	Bob Garrett	11.22	GOLD
United States	1896	Track & Field	Discus Throw Men	Bob Garrett	29.15	GOLD
United States	1896	Shooting	Free Pistol	Sumner Paine	442	GOLD
United States	1896	Shooting	Military Revolver	John Paine	442	GOLD
United States	1896	Shooting	Military Revolver	Sumner Paine	380	SILVER
Germany (until 1912)	1896	Track & Field	100m Men	Fritz Hofmann	12.2 est.	SILVER
Germany (until 1912)	1896	Cycling	Individual Road Race Men	August Goedrich	3:34:14	SILVER
Germany (until 1912)	1896	Gymnastics	Horizontal Bar	Hermann Weingärtner		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar	Alfred Flatow		SILVER
Germany (until 1912)	1896	Gymnastics	Parallel Bars	Alfred Flatow		GOLD
Germany (until 1912)	1896	Gymnastics	Long Horse Vault	Carl Schuhmann		GOLD
Germany (until 1912)	1896	Gymnastics	Long Horse Vault	Hermann Weingärtner		BRONZE
Germany (until 1912)	1896	Gymnastics	Pommeled Horse	Hermann Weingärtner		SILVER
Germany (until 1912)	1896	Gymnastics	Rings	Hermann Weingärtner		SILVER
Germany (until 1912)	1896	Gymnastics	Rope climbing	Fritz Hofmann	dnf	BRONZE
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Fritz Hofmann		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Georg Hilmar		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Fritz Manteuffel		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Alfred Flatow		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Conrad Böcker		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Gustav Flatow		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Hermann Weingärtner		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Gustav Schuft		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Carl Schuhmann		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Karl Neukirch		GOLD
Germany (until 1912)	1896	Gymnastics	Parallel Bars Team	Richard Röstel		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Richard Röstel		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Karl Neukirch		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Carl Schuhmann		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Gustav Schuft		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Hermann Weingärtner		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Gustav Flatow		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Conrad Böcker		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Alfred Flatow		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Fritz Manteuffel		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Georg Hilmar		GOLD
Germany (until 1912)	1896	Gymnastics	Horizontal Bar Team	Fritz Hofmann		GOLD
Germany (until 1912)	1896	Weightlifting	Heavyweight (Two-handed)	Carl Schuhmann		BRONZE
Germany (until 1912)	1896	Wrestling	Greco-Roman Heavyweight	Carl Schuhmann		GOLD
France	1896	Track & Field	1500m Men	Albin Lermusiaux	4:36.0 est.	BRONZE
France	1896	Track & Field	Triple Jump Men	Alexandre Tuffère	12.70	SILVER
France	1896	Cycling	2000m Sprint (Scratch) Men	Paul Masson	4:58.2	GOLD
France	1896	Cycling	2000m Sprint (Scratch) Men	Léon Flameng		BRONZE
France	1896	Cycling	One-Lap Race	Paul Masson	24.0	GOLD
France	1896	Cycling	10km Track Race	Paul Masson	17:54.2	GOLD
France	1896	Cycling	10km Track Race	Léon Flameng	17:54.8	SILVER
France	1896	Cycling	100km Track Race	Léon Flameng	3:08:19	GOLD
France	1896	Fencing	Foil, Individual	Eugène-Henri Gravelotte		GOLD
France	1896	Fencing	Foil, Individual	Henri Callot		SILVER
France	1896	Fencing	Masters Foil	Jean Perronnet		SILVER
United Kingdom	1896	Track & Field	400m Men	Charles Gmelin	n/a	BRONZE
United Kingdom	1896	Track & Field	110m Hurdles Men	Grantley Goulding	17.7	SILVER
United Kingdom	1896	Cycling	Individual Road Race Men	Edward Battell		BRONZE
United Kingdom	1896	Cycling	12-Hour Race	Frank Keeping	294.946	SILVER
United Kingdom	1896	Tennis	Men's Singles	John Boland		GOLD
United Kingdom	1896	Weightlifting	Heavyweight (Two-handed)	Launceston Elliot	111.5	SILVER
United Kingdom	1896	Weightlifting	Heavyweight One Handed	Launceston Elliot	71	GOLD
Denmark	1896	Fencing	Sabre, Individual	Holger Nielsen		BRONZE
Denmark	1896	Shooting	Pistol 25m	Holger Nielsen	n/a	BRONZE
Denmark	1896	Shooting	Free Pistol	Holger Nielsen	285	SILVER
Denmark	1896	Shooting	Army Gun 300m	Viggo Jensen	1305	BRONZE
Denmark	1896	Weightlifting	Heavyweight (Two-handed)	Viggo Jensen	111.5	GOLD
Denmark	1896	Weightlifting	Heavyweight One Handed	Viggo Jensen	57.2	SILVER
Hungary	1896	Track & Field	100m Men	Alajos Szokolyi	12.6 est.	BRONZE
Hungary	1896	Track & Field	800m Men	Nándor Dáni	2:11.8 est.	SILVER
Hungary	1896	Track & Field	Marathon Men	Gyula Kellner	3:09:35	BRONZE
Hungary	1896	Swimming	100m Freestyle Men	Alfréd Hajós	1:22.2	GOLD
Hungary	1896	Swimming	1200m Freestyle Men	Alfréd Hajós	18:22.2	GOLD
Hungary	1896	Tennis	Men's Singles	Momcsilló Topavicza		BRONZE
Hungary	1896	Weightlifting	Heavyweight (Two-handed)	Momcsilló Topavicza		BRONZE
Austria	1896	Cycling	One-Lap Race	Adolf Schmal	26.0	BRONZE
Austria	1896	Cycling	10km Track Race	Adolf Schmal		BRONZE
Austria	1896	Cycling	12-Hour Race	Adolf Schmal	295.3	GOLD
Austria	1896	Swimming	100m Freestyle Men	Otto Herschmann	1:22.8	SILVER
Austria	1896	Swimming	500m Freestyle Men	Paul Neumann	8:12.6	GOLD
International Team	1896	Tennis	Men's Doubles	John Boland		GOLD
International Team	1896	Tennis	Men's Doubles	Fritz Traun		GOLD
International Team	1896	Tennis	Men's Doubles	Dionyssios Kasdaglis		SILVER
International Team	1896	Tennis	Men's Doubles	Dimitris Petrokokkinos		SILVER
International Team	1896	Tennis	Men's Doubles	George Robertson		BRONZE
International Team	1896	Tennis	Men's Doubles	Teddy Flack		BRONZE
Switzerland	1896	Gymnastics	Parallel Bars	Louis Zutter		SILVER
Switzerland	1896	Gymnastics	Long Horse Vault	Louis Zutter		SILVER
Switzerland	1896	Gymnastics	Pommeled Horse	Louis Zutter		GOLD
Australia	1896	Track & Field	800m Men	Teddy Flack	2:11.0	GOLD
Australia	1896	Track & Field	1500m Men	Teddy Flack	4:33.2	GOLD
France	1900	Archery	Sur la perche á la herse Men	Auguste Serrurier		SILVER
France	1900	Archery	Sur la perche á la pyramide Men	Emile Grumiaux		GOLD
France	1900	Archery	Sur la perche á la pyramide Men	Auguste Serrurier		SILVER
France	1900	Archery	Au cordon doré 33m Men	Victor Thibaud		SILVER
France	1900	Archery	Au cordon doré 33m Men	Charles-Frédéric Petit		BRONZE
France	1900	Archery	Au cordon doré 50m Men	Henri Herouin	31	GOLD
France	1900	Archery	Au cordon doré 50m Men	Emile Fisseux	28	BRONZE
France	1900	Archery	Au chapelet 33m Men	Victor Thibaud		SILVER
France	1900	Archery	Au chapelet 33m Men	Charles-Frédéric Petit		BRONZE
France	1900	Archery	Au chapelet 50m Men	Eugène Mougin		GOLD
France	1900	Archery	Au chapelet 50m Men	Henri Helle		SILVER
France	1900	Archery	Au chapelet 50m Men	Emile Mercier		BRONZE
France	1900	Track & Field	1500m Men	Henri Deloge	4:06.6	SILVER
France	1900	Track & Field	Marathon Men	Michel Théato	2:59:45	GOLD
France	1900	Track & Field	Marathon Men	Emile Champion	3:04:17	SILVER
France	1900	Track & Field	400m Hurdles Men	Henri Tauzin	58.3	SILVER
France	1900	Track & Field	2500m Steeplechase Men	Jacques Chastanié	n/a	BRONZE
France	1900	Track & Field	5000m Team Race	Jacques Chastanié	29	SILVER
France	1900	Track & Field	5000m Team Race	André Castanet	29	SILVER
France	1900	Track & Field	5000m Team Race	Albert Champoudry	29	SILVER
France	1900	Track & Field	5000m Team Race	Henri Deloge	29	SILVER
France	1900	Track & Field	5000m Team Race	Gaston Ragueneau	29	SILVER
France	1900	Track & Field	Standing Long Jump	Emile Torcheboeuf	3.03	BRONZE
France	1900	Cricket	Cricket	Philip H Tomalin		SILVER
France	1900	Cricket	Cricket	D Robinson		SILVER
France	1900	Cricket	Cricket	F Roques		SILVER
France	1900	Cricket	Cricket	A J Schneidau		SILVER
France	1900	Cricket	Cricket	Henry Terry		SILVER
France	1900	Cricket	Cricket	A McEvoy		SILVER
France	1900	Cricket	Cricket	W T Attrill		SILVER
France	1900	Cricket	Cricket	W Anderson		SILVER
France	1900	Cricket	Cricket	J Braid		SILVER
France	1900	Cricket	Cricket	W Browning		SILVER
France	1900	Cricket	Cricket	R Horne		SILVER
France	1900	Cricket	Cricket	T H Jordan		SILVER
France	1900	Croquet	Croquet, Singles (1 Ball)	 Aumoitte	45	GOLD
France	1900	Croquet	Croquet, Singles (1 Ball)	 Johin	21	SILVER
France	1900	Croquet	Croquet, Singles (2 Balls)	 Waydelick		GOLD
France	1900	Croquet	Croquet, Singles (2 Balls)	 Vigneron		SILVER
France	1900	Croquet	Croquet, Singles (2 Balls)	 Sautereau		BRONZE
France	1900	Croquet	Croquet, Doubles	 Johin		GOLD
France	1900	Croquet	Croquet, Doubles	 Aumoitte		GOLD
France	1900	Cycling	2000m Sprint (Scratch) Men	Georges Taillandier	2:52.0	GOLD
France	1900	Cycling	2000m Sprint (Scratch) Men	Fernand Sanz		SILVER
France	1900	Cycling	25km Track Race	Louis Bastien		GOLD
France	1900	Cycling	25km Track Race	Louis Hildebrand		SILVER
France	1900	Cycling	25km Track Race	 Daumain		BRONZE
France	1900	Equestrian	Jumping, Individual	Louis de Champsavin	2:26.0	BRONZE
France	1900	Equestrian	High Jump	Dominique Gardères	1.85	GOLD
France	1900	Equestrian	Long Jump	 de Bellegarde	5.30	BRONZE
France	1900	Equestrian	Hacks and Hunter combined	Napoléon Murat		GOLD
France	1900	Equestrian	Hacks and Hunter combined	 Archenoul		SILVER
France	1900	Equestrian	Hacks and Hunter combined	Marquis de Montesquiou-Fézensac		BRONZE
France	1900	Equestrian	Mail Coach	Léon Thome		SILVER
France	1900	Equestrian	Mail Coach	de Neuflize Baron 		BRONZE
France	1900	Fencing	Foil, Individual	Emile Coste		GOLD
France	1900	Fencing	Foil, Individual	Henri Masson		SILVER
France	1900	Fencing	Foil, Individual	Jacques Boulenger		BRONZE
France	1900	Fencing	Épée, Individual	Louis Perrée		SILVER
France	1900	Fencing	Épée, Individual	Léon Sée		BRONZE
France	1900	Fencing	Sabre, Individual	Georges de la Falaise		GOLD
France	1900	Fencing	Sabre, Individual	Léon Thiébaut		SILVER
France	1900	Fencing	Masters Foil	Lucien Mérignac		GOLD
France	1900	Fencing	Masters Foil	Alphonse Kirchhoffer		SILVER
France	1900	Fencing	Masters Foil	Jean-Baptiste Mimiague		BRONZE
France	1900	Fencing	Masters Épée	Albert Ayat		GOLD
France	1900	Fencing	Masters Épée	Emile Bougnol		SILVER
France	1900	Fencing	Masters Épée	Henri Laurent		BRONZE
France	1900	Fencing	Épée for Amateurs and Masters (Open)	Albert Ayat		GOLD
France	1900	Fencing	Épée for Amateurs and Masters (Open)	Léon Sée		BRONZE
France	1900	Gymnastics	All-around, Individual Men	Gustave Sandras	302	GOLD
France	1900	Gymnastics	All-around, Individual Men	Noël Bas	295	SILVER
France	1900	Gymnastics	All-around, Individual Men	Lucien Démanet	293	BRONZE
France	1900	Pelota Basque	2-man Teams with Cesta	Maurice Durquetty		SILVER
France	1900	Pelota Basque	2-man Teams with Cesta	 Etchegaray		SILVER
France	1900	Rowing	Single Sculls Men	Henri Barrelet	7:35.6	GOLD
France	1900	Rowing	Single Sculls Men	André Gaudin	7:41.6	SILVER
France	1900	Rowing	Coxed Pairs Men	Louis Martinet	7:34.4	SILVER
France	1900	Rowing	Coxed Pairs Men	 Waleff	7:34.4	SILVER
France	1900	Rowing	Coxed Pairs Men	Erneste Védrenne	7:57.2	BRONZE
France	1900	Rowing	Coxed Pairs Men	 Paoli	7:57.2	BRONZE
France	1900	Rowing	Coxed Pairs Men	Carlos Deltour	7:57.2	BRONZE
France	1900	Rowing	Coxed Fours Men 1. Final	Emile Delchambre	7:11.0	GOLD
France	1900	Rowing	Coxed Fours Men 1. Final	 Charlot	7:11.0	GOLD
France	1900	Rowing	Coxed Fours Men 1. Final	Jean Cau	7:11.0	GOLD
France	1900	Rowing	Coxed Fours Men 1. Final	Henri Bouckaert	7:11.0	GOLD
France	1900	Rowing	Coxed Fours Men 1. Final	Henri Hazebroucq	7:11.0	GOLD
France	1900	Rowing	Coxed Fours Men 1. Final	Georges Lumpp	7:18.0	SILVER
France	1900	Rowing	Coxed Fours Men 1. Final	Charles Perrin	7:18.0	SILVER
France	1900	Rowing	Coxed Fours Men 1. Final	Daniel Soubeyran	7:18.0	SILVER
France	1900	Rowing	Coxed Fours Men 1. Final	Emile Wegelin	7:18.0	SILVER
France	1900	Rugby	Rugby	Emile Sarrade		GOLD
France	1900	Rugby	Rugby	Joseph Olivier		GOLD
France	1900	Rugby	Rugby	Albert Roosevelt		GOLD
France	1900	Rugby	Rugby	Frantz Reichel		GOLD
France	1900	Rugby	Rugby	André Rischmann		GOLD
France	1900	Rugby	Rugby	Alexandre Pharamond		GOLD
France	1900	Rugby	Rugby	Hubert Lefebvre		GOLD
France	1900	Rugby	Rugby	Victor Larchandet		GOLD
France	1900	Rugby	Rugby	Jean-Guy Gautier		GOLD
France	1900	Rugby	Rugby	Auguste Giroux		GOLD
France	1900	Rugby	Rugby	Constantin Henriquez		GOLD
France	1900	Rugby	Rugby	J Hervé		GOLD
France	1900	Rugby	Rugby	Charles Gondouin		GOLD
France	1900	Rugby	Rugby	Jean Binoche		GOLD
France	1900	Rugby	Rugby	Vladimir Aïtoff		GOLD
France	1900	Rugby	Rugby	A Albert		GOLD
France	1900	Rugby	Rugby	Jean Collas		GOLD
France	1900	Shooting	Rapid Fire Pistol	Maurice Larrouy	58	GOLD
France	1900	Shooting	Rapid Fire Pistol	Léon Moreaux	57	SILVER
France	1900	Shooting	Rapid Fire Pistol	Eugène Balme	57	BRONZE
France	1900	Shooting	Free Pistol	Achille Paroche	466	SILVER
France	1900	Shooting	Trap Shooting	Roger de Barbarin	17	GOLD
France	1900	Shooting	Trap Shooting	René Guyot	17	SILVER
France	1900	Shooting	Trap Shooting	Justinien Comte de Clary	17	BRONZE
France	1900	Shooting	Moving Target	Louis Debray	20	GOLD
France	1900	Shooting	Moving Target	Pierre Nivet	20	SILVER
France	1900	Shooting	Moving Target	Georges de Lambert	19	BRONZE
France	1900	Shooting	Military Revolver Teams 50m	Louis Duffoy	2203	SILVER
France	1900	Shooting	Military Revolver Teams 50m	Maurice Lecoq	2203	SILVER
France	1900	Shooting	Military Revolver Teams 50m	Léon Moreaux	2203	SILVER
France	1900	Shooting	Military Revolver Teams 50m	Achille Paroche	2203	SILVER
France	1900	Shooting	Military Revolver Teams 50m	 Trinité	2203	SILVER
France	1900	Shooting	Individual Military Rifle, Prone	Achille Paroche	332	GOLD
France	1900	Shooting	Military Rifle Teams	Achille Paroche	4278	BRONZE
France	1900	Shooting	Military Rifle Teams	Léon Moreaux	4278	BRONZE
France	1900	Shooting	Military Rifle Teams	René Thomas	4278	BRONZE
France	1900	Shooting	Military Rifle Teams	Maurice Lecoq	4278	BRONZE
France	1900	Shooting	Military Rifle Teams	Auguste Cavadini	4278	BRONZE
France	1900	Soccer	Soccer	Fernand Canelle		SILVER
France	1900	Soccer	Soccer	Pierre Allemane		SILVER
France	1900	Soccer	Soccer	Louis Bach		SILVER
France	1900	Soccer	Soccer	Alfred Bloch		SILVER
France	1900	Soccer	Soccer	Maurice Macaire		SILVER
France	1900	Soccer	Soccer	Marcel Lambert		SILVER
France	1900	Soccer	Soccer	Lucien Huteau		SILVER
France	1900	Soccer	Soccer	 Duparc		SILVER
France	1900	Soccer	Soccer	Eugène Fraysse		SILVER
France	1900	Soccer	Soccer	Virgile Gaillard		SILVER
France	1900	Soccer	Soccer	R Grandjean		SILVER
France	1900	Soccer	Soccer	René Garnier		SILVER
France	1900	Soccer	Soccer	Gaston Peltier		SILVER
France	1900	Swimming	4000m Freestyle Men	Louis Martin	1:13:08.4	BRONZE
France	1900	Swimming	200m Team Swimming- Men	Maurice Hochepied	51	SILVER
France	1900	Swimming	200m Team Swimming- Men	Victor Hochepied	51	SILVER
France	1900	Swimming	200m Team Swimming- Men	 Cadet	51	SILVER
France	1900	Swimming	200m Team Swimming- Men	 Bertrand	51	SILVER
France	1900	Swimming	200m Team Swimming- Men	 Verbecke	51	SILVER
France	1900	Swimming	200m Team Swimming- Men	Désiré Merchez	61	BRONZE
France	1900	Swimming	200m Team Swimming- Men	 Tartara	61	BRONZE
France	1900	Swimming	200m Team Swimming- Men	 Houben	61	BRONZE
France	1900	Swimming	200m Team Swimming- Men	Louis Martin	61	BRONZE
France	1900	Swimming	200m Team Swimming- Men	Jean Leuillieux	61	BRONZE
France	1900	Swimming	Underwater Swimming Men	Charles de Vendeville	188.4	GOLD
France	1900	Swimming	Underwater Swimming Men	André Six	185.4	SILVER
France	1900	Tennis	Men's Doubles	André Prévost		BRONZE
France	1900	Tennis	Men's Doubles	Georges de la Chapelle		BRONZE
France	1900	Tennis	Women's Singles	Hélène Prévost		SILVER
France	1900	Tug Of War	Tug of War	Emile Sarrade		SILVER
France	1900	Tug Of War	Tug of War	Joseph Roffo		SILVER
France	1900	Tug Of War	Tug of War	Jean Collas		SILVER
France	1900	Tug Of War	Tug of War	R Basset		SILVER
France	1900	Tug Of War	Tug of War	Charles Gondouin		SILVER
France	1900	Tug Of War	Tug of War	Constantin Henriquez		SILVER
France	1900	Water Polo	Water Polo	 Fardelle		BRONZE
France	1900	Water Polo	Water Polo	 Favier		BRONZE
France	1900	Water Polo	Water Polo	Louis Martin		BRONZE
France	1900	Water Polo	Water Polo	 Leriche		BRONZE
France	1900	Water Polo	Water Polo	Louis Lauffray		BRONZE
France	1900	Water Polo	Water Polo	Thomas Burgess		BRONZE
France	1900	Water Polo	Water Polo	 Coulon		BRONZE
France	1900	Water Polo	Water Polo	Alphonse De Cuyper		BRONZE
France	1900	Water Polo	Water Polo	 Devenot		BRONZE
France	1900	Water Polo	Water Polo	Henri Peslier		BRONZE
France	1900	Water Polo	Water Polo	 Pesloy		BRONZE
France	1900	Water Polo	Water Polo	Désiré Merchez		BRONZE
France	1900	Water Polo	Water Polo	Charles Treffel		BRONZE
France	1900	Water Polo	Water Polo	Paul Vasseur		BRONZE
France	1900	Sailing	½ Ton Class - Race 1	Pierre Gervais	18	GOLD
France	1900	Sailing	½ Ton Class - Race 1	Robert Linzeler	15	SILVER
France	1900	Sailing	½ Ton Class - Race 1	Jean Charcot	15	SILVER
France	1900	Sailing	½ Ton Class - Race 1	 Texier	15	SILVER
France	1900	Sailing	½ Ton Class - Race 1	 Texier II	15	SILVER
France	1900	Sailing	½ Ton Class - Race 1	Leon Tellier		BRONZE
France	1900	Sailing	½ Ton Class - Race 1	Henri Monnot		BRONZE
France	1900	Sailing	½ Ton Class - Race 1	Gaston Cailleux		BRONZE
France	1900	Sailing	½ Ton Class - Race 2	Emile Sacré		GOLD
France	1900	Sailing	½ Ton Class - Race 2	 Texier		SILVER
France	1900	Sailing	½ Ton Class - Race 2	 Texier II		SILVER
France	1900	Sailing	½ Ton Class - Race 2	Jean Charcot		SILVER
France	1900	Sailing	½ Ton Class - Race 2	Robert Linzeler		SILVER
France	1900	Sailing	½ Ton Class - Race 2	Pierre Gervais		BRONZE
France	1900	Sailing	½-1 Ton Class	Linton Hope	17	GOLD
France	1900	Sailing	½-1 Ton Class	William Martin	17	SILVER
France	1900	Sailing	½-1 Ton Class	Jean Lebret	17	SILVER
France	1900	Sailing	½-1 Ton Class	Jacques Baudrier	17	SILVER
France	1900	Sailing	½-1 Ton Class	F Marcotte	17	SILVER
France	1900	Sailing	½-1 Ton Class	Jules Valton	17	SILVER
France	1900	Sailing	½-1 Ton Class	Marcel Meran	17	BRONZE
France	1900	Sailing	½-1 Ton Class	F Michelet	17	BRONZE
France	1900	Sailing	½-1 Ton Class	E Michelet	17	BRONZE
France	1900	Sailing	1-2 Ton Class - Race 1	F Vilamitjana	17	SILVER
France	1900	Sailing	1-2 Ton Class - Race 1	Auguste Albert	17	SILVER
France	1900	Sailing	1-2 Ton Class - Race 1	Charles Hugo	17	SILVER
France	1900	Sailing	1-2 Ton Class - Race 1	 Duval	17	SILVER
France	1900	Sailing	1-2 Ton Class - Race 1	Edouard Mantois	15	BRONZE
France	1900	Sailing	1-2 Ton Class - Race 1	Jacques Baudrier	15	BRONZE
France	1900	Sailing	1-2 Ton Class - Race 1	Lucien Baudrier	15	BRONZE
France	1900	Sailing	1-2 Ton Class - Race 2	Auguste Albert		BRONZE
France	1900	Sailing	1-2 Ton Class - Race 2	Charles Hugo		BRONZE
France	1900	Sailing	1-2 Ton Class - Race 2	 Duval		BRONZE
France	1900	Sailing	1-2 Ton Class - Race 2	F Vilamitjana		BRONZE
France	1900	Sailing	2-3 Ton Class - Race 1	Jacques le Lavasseur	20	GOLD
France	1900	Sailing	2-3 Ton Class - Race 1	Frederic Blanchy	20	GOLD
France	1900	Sailing	2-3 Ton Class - Race 1	 Doucet	18	SILVER
France	1900	Sailing	2-3 Ton Class - Race 1	 Godinet	18	SILVER
France	1900	Sailing	2-3 Ton Class - Race 1	 Mialaret	18	SILVER
France	1900	Sailing	2-3 Ton Class - Race 1	 Susse	18	SILVER
France	1900	Sailing	2-3 Ton Class - Race 1	Ferdinand Schlatter	15	BRONZE
